Subj,CRS,Title,Cmp,Sctn,Days,Start Time,End Time,Mtg Start Date,Mtg End Date,Duration,Instruction Mode,Building,Room,Instr,Enrl Cap,Wait Cap,Cmbnd Descr,Cmbnd Enrl Cap
CSE,214,Data Structures,REC,R07,RECM,2:30 PM,3:23 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,30,5, , 
CSE,214,Data Structures,REC,R08,RECW,2:30 PM,3:23 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,30,5, , 
CSE,214,Data Structures,REC,R09,RECM,3:30 PM,4:23 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,30,5, , 
CSE,215,Foundations of Computer Science,LEC,1,TUTH,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Christopher Kane,120,40, , 
CSE,215,Foundations of Computer Science,REC,R01,RECM,10:00 AM,10:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Christopher Kane,30,10, , 
CSE,215,Foundations of Computer Science,REC,R02,RECW,10:00 AM,10:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Christopher Kane,30,10, , 
CSE,215,Foundations of Computer Science,REC,R03,RECM,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Christopher Kane,30,10, , 
CSE,215,Foundations of Computer Science,REC,R04,RECW,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2129,Christopher Kane,30,10, , 
CSE,215,Foundations of Computer Science,LEC,2,MW,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Pramod Ganapathi,120,40, , 
CSE,215,Foundations of Computer Science,REC,R06,RECW,1:00 PM,1:53 PM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,30,10, , 
CSE,215,Foundations of Computer Science,REC,R07,RECM,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2129,Pramod Ganapathi,30,10, , 
CSE,215,Foundations of Computer Science,REC,R08,RECW,11:00 AM,11:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,30,10, , 
CSE,215,Foundations of Computer Science,REC,R09,RECF,9:00 AM,9:53 AM,25-Jan-21,19-May-21,53,In Person,COMPUTER SCI,2114,Pramod Ganapathi,0,0, , 
